SecondScore;MidtermExam;Logins;Reads
100;1;1;1
100;55;52;19
100;75;46;13
1;1;1;1
100;85;21;6
17;15;171;55
67;70;101;45
100;60;261;79
67;23;51;20
1;35;9;7
1;50;75;32
100;40;103;48
1;15;1;1
100;45;34;19
100;80;12;1
100;1;1;1
100;55;83;65
100;60;11;5
100;40;5;2
100;50;14;4
100;50;81;54
100;45;27;12
1;1;1;1
100;20;1;1
1;1;1;1
100;50;22;10
100;35;1;1
100;28;90;59
100;70;56;27
1;1;1;1
100;55;1;1
100;80;95;55
1;1;1;1
100;80;144;65
100;48;32;22
100;65;2;1
100;60;50;9
100;35;15;6
100;80;33;17
1;1;3;1
100;15;14;4
100;45;25;15
100;85;16;8
100;15;1;1
100;75;34;21
83;35;5;1
100;30;106;41
100;45;6;2
100;45;12;2
100;20;9;2
100;45;4;2
100;95;4;1
100;40;8;2
1;1;1;1
100;60;1;1
100;20;22;7
100;55;50;23
33;15;1;1
100;60;55;37
1;1;1;1
100;65;110;53
100;70;283;110
50;40;47;36
1;1;1;1
100;45;65;26
100;90;10;3
100;33;224;107
50;25;11;4
100;55;37;17
100;20;1;1
100;40;89;47
100;50;19;3
100;58;50;28
100;35;1;1
100;80;30;12
100;35;50;29
100;30;10;2
100;65;108;63
100;70;18;3
100;30;10;6
1;5;18;10
100;60;96;57
100;25;13;1
100;20;64;33
1;1;1;1
83;80;78;36
100;25;38;24
100;45;29;8
100;65;109;53
100;70;11;9
100;40;20;9
100;50;41;19
1;25;8;2
100;35;74;20
1;30;1;1
1;1;1;1
100;30;32;7
100;60;17;7
1;30;2;1
1;1;5;1
100;30;1;1
100;45;34;16
1;30;1;1
67;30;15;9
100;50;1;1
100;15;63;27
100;40;6;3
83;70;1;1
100;75;6;1
93;25;40;10
50;55;4;1
100;30;1;1
83;33;1;1
100;70;12;2
1;25;1;1
67;60;8;3
100;38;3;1
67;20;17;9
67;60;44;15
83;35;4;1
